MUN_PROV,MUN_CODI,MUN_INE,MUN_DIGIT,MUN_NOM,MUN_NOM2,MUN_NOM3,MUN_NOM2_PART,MUN_BAIXA,MUN_DATA_ACT
8.0000000000000000e+00,2.5100000000000000e+02,"08251",,"SANTA MARGARIDA I ELS MONJOS","Santa Margarida i els Monjos","Santa Margarida i els Monjos",,,
8.0000000000000000e+00,2.5200000000000000e+02,"08252",,"BARBERA DEL VALLES","Barberà del Vallès","Barberà del Vallès",,,
8.0000000000000000e+00,2.5300000000000000e+02,"08253",,"SANTA MARIA DE BESORA","Santa Maria de Besora","Santa Maria de Besora",,,
8.0000000000000000e+00,2.5400000000000000e+02,"08254",,"ESQUIROL, L'","Esquirol","L'Esquirol","L'",,
8.0000000000000000e+00,2.5500000000000000e+02,"08255",,"SANTA MARIA DE MERLES","Santa Maria de Merlès","Santa Maria de Merlès",,,
8.0000000000000000e+00,2.5600000000000000e+02,"08256",,"SANTA MARIA DE MARTORELLES","Santa Maria de Martorelles","Santa Maria de Martorelles",,,
8.0000000000000000e+00,2.5700000000000000e+02,"08257",,"SANTA MARIA DE MIRALLES","Santa Maria de Miralles","Santa Maria de Miralles",,,
8.0000000000000000e+00,2.5800000000000000e+02,"08258",,"SANTA MARIA D'OLO","Santa Maria d'Oló","Santa Maria d'Oló",,,
8.0000000000000000e+00,2.5900000000000000e+02,"08259",,"SANTA MARIA DE PALAUTORDERA","Santa Maria de Palautordera","Santa Maria de Palautordera",,,
8.0000000000000000e+00,2.6000000000000000e+02,"08260",,"SANTA PERPETUA DE MOGODA","Santa Perpètua de Mogoda","Santa Perpètua de Mogoda",,,
